kernel,waitcnt_line,original_matches_expected,mutant_matches_original,mutant_matches_expected,notes
accum_sub_16,85,yes,no,no,v5 lane00 orig=152fef00 mut=bd09905a (32 lanes differ)
accum_sub_16,87,yes,yes,yes,
accum_sub_16,90,yes,no,no,v5 lane00 orig=152fef00 mut=f3dc0720 (32 lanes differ)
accum_sub_16,92,yes,no,no,v5 lane00 orig=152fef00 mut=713c3080 (32 lanes differ)
accum_sub_16,95,yes,yes,yes,
accum_sub_16,97,yes,yes,yes,
accum_sub_32,20,yes,skip,skip,"launcher rc=2 HIP err 110: an illegal memory access was encountered
"
accum_sub_32,86,yes,yes,yes,
accum_sub_32,132,yes,yes,yes,
accum_sub_32,134,yes,yes,yes,
accum_sub_32,137,yes,yes,yes,
accum_sub_32,139,yes,yes,yes,
accum_sub_32,142,yes,yes,yes,
accum_sub_32,144,yes,yes,yes,
accum_sub_32,147,yes,yes,yes,
accum_sub_32,149,yes,yes,yes,
accum_sub_32,152,yes,yes,yes,
accum_sub_32,154,yes,yes,yes,
accum_sub_32,157,yes,yes,yes,
accum_sub_32,159,yes,yes,yes,
accum_sub_32,162,yes,yes,yes,
accum_sub_32,164,yes,yes,yes,
accum_sub_32,167,yes,yes,yes,
accum_sub_32,169,yes,no,no,v5 lane00 orig=2a5fbe00 mut=090c5174 (32 lanes differ)
accum_sub_4,15,yes,skip,skip,"launcher rc=2 HIP err 110: an illegal memory access was encountered
"
accum_sub_4,30,yes,skip,skip,"launcher rc=2 HIP err 110: an illegal memory access was encountered
"
accum_sub_4,39,yes,no,no,v5 lane00 orig=854bfec0 mut=63f8ff00 (32 lanes differ)
accum_sub_4,41,yes,yes,yes,
accum_sub_64,21,yes,skip,skip,launcher rc=124 launcher timeout after 30s: 
accum_sub_64,42,yes,skip,skip,"launcher rc=2 HIP err 110: an illegal memory access was encountered
"
accum_sub_64,85,yes,no,no,v5 lane00 orig=54befc00 mut=54beeb80 (32 lanes differ)
accum_sub_64,253,yes,yes,yes,
accum_sub_64,260,yes,yes,yes,
accum_sub_64,262,yes,yes,yes,
accum_sub_64,265,yes,yes,yes,
accum_sub_64,267,yes,yes,yes,
accum_sub_64,270,yes,yes,yes,
