mutant_id,kernel,family,deleted_line,deleted_inst,waitcnt_kind,vmcnt,vlq_count,plq_count,ds_pending,vscnt,classification,bm_outcome
accum_add_96__L420,accum_add_96,accum_n_distinct,420,s_waitcnt vmcnt(50),vmcnt,52,52,0,0,0,load_bearing,match
accum_add_96__L422,accum_add_96,accum_n_distinct,422,s_waitcnt vmcnt(48),vmcnt,50,50,0,0,0,load_bearing,match
accum_add_96__L425,accum_add_96,accum_n_distinct,425,s_waitcnt vmcnt(46),vmcnt,48,48,0,0,0,load_bearing,match
accum_add_96__L427,accum_add_96,accum_n_distinct,427,s_waitcnt vmcnt(44),vmcnt,46,46,0,0,0,load_bearing,match
accum_add_96__L430,accum_add_96,accum_n_distinct,430,s_waitcnt vmcnt(42),vmcnt,44,44,0,0,0,load_bearing,match
accum_add_96__L432,accum_add_96,accum_n_distinct,432,s_waitcnt vmcnt(40),vmcnt,42,42,0,0,0,load_bearing,match
accum_add_96__L435,accum_add_96,accum_n_distinct,435,s_waitcnt vmcnt(38),vmcnt,40,40,0,0,0,load_bearing,match
accum_add_96__L437,accum_add_96,accum_n_distinct,437,s_waitcnt vmcnt(36),vmcnt,38,38,0,0,0,load_bearing,match
accum_add_96__L440,accum_add_96,accum_n_distinct,440,s_waitcnt vmcnt(34),vmcnt,36,36,0,0,0,load_bearing,match
accum_add_96__L442,accum_add_96,accum_n_distinct,442,s_waitcnt vmcnt(32),vmcnt,34,34,0,0,0,load_bearing,match
accum_add_96__L445,accum_add_96,accum_n_distinct,445,s_waitcnt vmcnt(30),vmcnt,32,32,0,0,0,load_bearing,match
accum_add_96__L447,accum_add_96,accum_n_distinct,447,s_waitcnt vmcnt(28),vmcnt,30,30,0,0,0,load_bearing,match
accum_add_96__L450,accum_add_96,accum_n_distinct,450,s_waitcnt vmcnt(26),vmcnt,28,28,0,0,0,load_bearing,match
accum_add_96__L452,accum_add_96,accum_n_distinct,452,s_waitcnt vmcnt(24),vmcnt,26,26,0,0,0,load_bearing,match
accum_add_96__L455,accum_add_96,accum_n_distinct,455,s_waitcnt vmcnt(22),vmcnt,24,24,0,0,0,load_bearing,match
accum_add_96__L457,accum_add_96,accum_n_distinct,457,s_waitcnt vmcnt(20),vmcnt,22,22,0,0,0,load_bearing,match
accum_add_96__L460,accum_add_96,accum_n_distinct,460,s_waitcnt vmcnt(18),vmcnt,20,20,0,0,0,load_bearing,match
accum_add_96__L462,accum_add_96,accum_n_distinct,462,s_waitcnt vmcnt(16),vmcnt,18,18,0,0,0,load_bearing,match
accum_add_96__L465,accum_add_96,accum_n_distinct,465,s_waitcnt vmcnt(14),vmcnt,16,16,0,0,0,load_bearing,match
accum_add_96__L467,accum_add_96,accum_n_distinct,467,s_waitcnt vmcnt(12),vmcnt,14,14,0,0,0,load_bearing,match
accum_add_96__L470,accum_add_96,accum_n_distinct,470,s_waitcnt vmcnt(10),vmcnt,12,12,0,0,0,load_bearing,match
accum_add_96__L472,accum_add_96,accum_n_distinct,472,s_waitcnt vmcnt(8),vmcnt,10,10,0,0,0,load_bearing,match
