kernel,waitcnt_line,waitcnt_kind,original_hazards,mutant_hazards,new_hazard_detected,mutant_asm_path
accum_add_64,287,vmcnt,[HAZARD] read of v34x32 | [HAZARD] read of v12x32 | [HAZARD] read of v6x32 | [HAZARD] read of v2x32,[HAZARD] read of v34x32 | [HAZARD] read of v12x32 | [HAZARD] read of v6x32 | [HAZARD] read of v2x32 | [HAZARD] read of v26x32 | [HAZARD] read of v27x32,yes,tests/mutation/mutants/accum_add_64__L287.s
accum_add_64,290,vmcnt,[HAZARD] read of v34x32 | [HAZARD] read of v12x32 | [HAZARD] read of v6x32 | [HAZARD] read of v2x32,[HAZARD] read of v34x32 | [HAZARD] read of v12x32 | [HAZARD] read of v6x32 | [HAZARD] read of v2x32 | [HAZARD] read of v28x32 | [HAZARD] read of v29x32,yes,tests/mutation/mutants/accum_add_64__L290.s
accum_add_64,292,vmcnt,[HAZARD] read of v34x32 | [HAZARD] read of v12x32 | [HAZARD] read of v6x32 | [HAZARD] read of v2x32,[HAZARD] read of v34x32 | [HAZARD] read of v12x32 | [HAZARD] read of v6x32 | [HAZARD] read of v2x32 | [HAZARD] read of v30x32 | [HAZARD] read of v31x32,yes,tests/mutation/mutants/accum_add_64__L292.s
accum_add_64,295,vmcnt,[HAZARD] read of v34x32 | [HAZARD] read of v12x32 | [HAZARD] read of v6x32 | [HAZARD] read of v2x32,[HAZARD] read of v34x32 | [HAZARD] read of v12x32 | [HAZARD] read of v6x32 | [HAZARD] read of v2x32 | [HAZARD] read of v32x32 | [HAZARD] read of v33x32,yes,tests/mutation/mutants/accum_add_64__L295.s
accum_add_64,297,vmcnt,[HAZARD] read of v34x32 | [HAZARD] read of v12x32 | [HAZARD] read of v6x32 | [HAZARD] read of v2x32,[HAZARD] read of v34x32 | [HAZARD] read of v12x32 | [HAZARD] read of v6x32 | [HAZARD] read of v2x32 | [HAZARD] read of v42x32 | [HAZARD] read of v43x32,yes,tests/mutation/mutants/accum_add_64__L297.s
accum_add_64,300,vmcnt,[HAZARD] read of v34x32 | [HAZARD] read of v12x32 | [HAZARD] read of v6x32 | [HAZARD] read of v2x32,[HAZARD] read of v34x32 | [HAZARD] read of v12x32 | [HAZARD] read of v6x32 | [HAZARD] read of v2x32 | [HAZARD] read of v44x32 | [HAZARD] read of v45x32,yes,tests/mutation/mutants/accum_add_64__L300.s
accum_add_64,302,vmcnt,[HAZARD] read of v34x32 | [HAZARD] read of v12x32 | [HAZARD] read of v6x32 | [HAZARD] read of v2x32,[HAZARD] read of v34x32 | [HAZARD] read of v12x32 | [HAZARD] read of v6x32 | [HAZARD] read of v2x32 | [HAZARD] read of v46x32 | [HAZARD] read of v47x32,yes,tests/mutation/mutants/accum_add_64__L302.s
accum_add_64,305,vmcnt,[HAZARD] read of v34x32 | [HAZARD] read of v12x32 | [HAZARD] read of v6x32 | [HAZARD] read of v2x32,[HAZARD] read of v34x32 | [HAZARD] read of v12x32 | [HAZARD] read of v6x32 | [HAZARD] read of v2x32 | [HAZARD] read of v48x32 | [HAZARD] read of v49x32,yes,tests/mutation/mutants/accum_add_64__L305.s
accum_add_64,307,vmcnt,[HAZARD] read of v34x32 | [HAZARD] read of v12x32 | [HAZARD] read of v6x32 | [HAZARD] read of v2x32,[HAZARD] read of v34x32 | [HAZARD] read of v12x32 | [HAZARD] read of v6x32 | [HAZARD] read of v2x32 | [HAZARD] read of v50x32 | [HAZARD] read of v51x32,yes,tests/mutation/mutants/accum_add_64__L307.s
accum_add_64,310,vmcnt,[HAZARD] read of v34x32 | [HAZARD] read of v12x32 | [HAZARD] read of v6x32 | [HAZARD] read of v2x32,[HAZARD] read of v34x32 | [HAZARD] read of v12x32 | [HAZARD] read of v6x32 | [HAZARD] read of v2x32 | [HAZARD] read of v52x32 | [HAZARD] read of v53x32,yes,tests/mutation/mutants/accum_add_64__L310.s
